id,name,time,utc_offset,group_id,venue_id,status,description
"9235956","Lake County Coders December Gathering",1228960800000,-25200000,1328524,822548,"past","<p>This is just an idea of a meeting place.... if you have any other ideas... let me know.</p> <p>First meeting will just be a starting point and to organize future meetings.</p> <p>Thanks,</p> <p>Ian Merwin<br/>644.4189</p>"
"9318987","Lake County Coders January Meetup",1231380000000,-25200000,1328524,822548,"past","<p>We can change the meeting place or time if anyone wishes... (suggestions?).... if you have any other ideas... let me know.</p> <p>Thanks to all who showed up at last meeting. This meeting we will discuss ideas of purpose, mission, mentoring, and possibly a group project. Please email me with any ideas, comments, suggestions and anything you wish to see us incorporate into our meetings or focus.</p> <p>Thanks,</p> <p>Ian Merwin<br/>644.4189</p>"
"9473676","Code talk and Breadsticks... heaven on earth.. =)",1234400400000,-25200000,1328524,854828,"past","<p>Thanks to all who showed up at last meeting.</p> <p>Suggestion was made to meet a little earlier and at a place conducive to prolonged code talk (warning: this may be harmful to your brain)...</p> <p>We will be meeting at 6:00 from now on. This month - Pizza Hut!</p> <p>We are a fresh group and are still trying to get our legs... this will be our third meeting.</p> <p>We have been discussing the idea of turning CodeCoaches.com into a group project. I welcome any and all thoughts you may have. Another idea I have been tossing around is putting together a site for us as a group...</p> <p>Look forward to seeing you all there (hopefully the weather will be a little warmer and the roads a little safer - sheesh!)..</p> <p><br/>Thanks,</p> <p>Ian Merwin<br/>644.4189</p>"
"9725152","Montana Coders March Meetup",1236988800000,-21600000,1328524,854828,"past","<p>Thanks to all who showed up at last meeting.</p> <p>It was very cool seeing/meeting new faces! Hopefully everyone came away from the meeting with a little morsel of goodness (if not just the fellowship) that made it all worth while.</p> <p>Hank mentioned the idea of starting a site for the group and Wes and I have talked about this in the past as well. Maybe we can spend a little time on how to move forward on this for the group. I registered MontanaCoders.com/net/org and MontanaProgrammers.com/net/org for this purpose -- Both are decent names so maybe we just point them all to the same content?</p> <p>Feel free to bring examples - handouts, etc.</p> <p>Also, Wes talked about ""brain dumps"" -- having someone bring a little sermon-ette on a technology, practice, etc. and present for the group. Please share any other ideas that you feel would help the meetings be a positive experience for all. Let me know what you would like to see.</p> <p><br/>Thanks,</p> <p>Ian Merwin<br/>644.4189</p>"
"9962918","Pizza - Pop - Programming @ Missoula!",1238803200000,-21600000,1328524,904630,"past","<p>First of all I want to say THANK YOU to Paul and Chase for driving up and buying us all Dinner - that was way cool of you Paul - AND for offering to host the April meeting. Our next meeting will be in Missoula. Folks from the North can carpool with me -- just let me know. Judging on how things are going we may start having multiple meetings each month in different areas. Stay tuned!</p> <p>We are starting to get traction and the group is definitely taking shape. Last meeting was a blast! I'm impressed with the variety of knowledge/expertise, languages, and industry represented. You guys are awesome!</p> <p>April's meeting is going to include 2 brain dumps (tentatively). Wes will present on AJAX and Ashton will present on CSS and fluid designing with style sheets. Approximately 30-45 minutes on each subject (enough to get your taste buds wet). Time allowing we may tackle some input on the MontanaProgrammers/MontanaCoders.com/net/org site.</p> <p>Thanks all.... hope to see ya in a few weeks!</p>"
"10113282","Missoula BarCamp - technology, non-profit, and arts unconference",1240077600000,-21600000,1328524,922599,"past","<p>Whoops! Messed up the time.. it starts at 12:00 everybody..<br/>heh heh</p> <p>Sorry 'bout that Harold.... thanks for the correction.</p> <p>Ian</p>"
"9950178","Databases -  Design  Tips & Tools...",1241222400000,-21600000,1328524,943649,"past","<p>Database talk, RDBMS, SQL/MySQL, Open Source Design Tools, Round table talk... and more</p> <p>Meeting will take shape as follows:<br/>Ian Merwin presenting on databases (aprox. 30-45 mins)</p> <p>Relational DBMS (brief)<br/>Normalization (3rd Normal Form) minimum (brief)<br/>Tools for designing and testing MySQL databases (less-brief)<br/>DB resource Links you can't live without (brief)</p> <p><br/>We will leave enough time to have:</p> <p>Question/answer times<br/>Round table talks<br/>Mini-discussions on the next few meetings agenda (or whatever)<br/>Professional/relationship network building...</p> <p><br/>Some ideas kicking around for next meeting are *nudges Andy, Steve, Phyllis,?, ... a presentation on CMS's, Drupal, and/or WordPress?</p> <p><br/>Thanks,</p> <p>Ian Merwin<br/>644.4189</p>"
"10260927","Montana Programmers Missoula Meetup",1241827200000,-21600000,1328524,951695,"past","<p>Hey all, it's official!</p> <p>Back by overwhelming popular demand.. Montana Programmers Missoula Meetup!</p> <p>A HUGE/SPECIAL shout out to Ruby's (and of course Phyllis Erck) for offering a room for us to meet. We will have a presentation on MySQL GUI tools for effective database development that will approx. 1 hour and the rest of the time will be discussions, questions/answers, and suggestions for next month's meetup.</p> <p>Directions to Ruby's (for those who have had a major concussion in the last 24 hours - or have never stepped foot in Montana):<br/><a href=""http://maps.google.com/maps?f=q&amp;source=s_q&amp;hl=en&amp;geocode=&amp;q=4825+North+Reserve+Missoula&amp;sll=37.09024,-95.712891&amp;sspn=41.411029,93.164063&amp;ie=UTF8&amp;z=16&amp;iwloc=A""><a href=""http://maps.google.co"" class=""linkified"">http://maps.google.co</a>...</a></p> <p>It's going to be awesome - there are lots of new members - I'm excited to meet you all!</p> <p>To follow along and build a database with me using the tools... you may want to download Workbench and GUI Tools prior to the meetings (same for Missoula Meetup folks).</p> <p>... AND maybe try to actually run it before you get there (*pokes Ashton) heh heh....</p> <p>You can get MySQL Workbench here:<br/>Windoze: <a href=""http://dev.mysql.com/downloads/workbench/5.1.html#Workbench_5.0_-_Windows""><a href=""http://dev.mysql.com/"" class=""linkified"">http://dev.mysql.com/</a>...</a><br/>Mac/Linux: <a href=""http://dev.mysql.com/downloads/workbench/5.1.html#Workbench_5.0_-_Windows""><a href=""http://dev.mysql.com/"" class=""linkified"">http://dev.mysql.com/</a>...</a></p> <p>and the MySQL GUI tools here:<br/><a href=""http://dev.mysql.com/downloads/gui-tools/5.0.html""><a href=""http://dev.mysql.com/"" class=""linkified"">http://dev.mysql.com/</a>...</a></p> <p>Of course all this assumes you have a working installation of MySQL server on your laptop. If not the server can be found here:<br/><a href=""http://dev.mysql.com/downloads/mysql/5.1.html#downloads""><a href=""http://dev.mysql.com/"" class=""linkified"">http://dev.mysql.com/</a>...</a></p> <p><br/>That way you will be able to follow along with the presentation (if you so desire).</p> <p><br/>THANKS!</p> <p>Ian</p>"
"10399434","Mini-Meet",1242432000000,-21600000,1328524,846939,"past","<p>Mini-Meet for us code junkies...</p> <p>We are Meeting at Ashton's for Pizza and to discuss the MTProgrammers site/functionallity/Member input/etc. and websites in general.</p> <p>Don't feel bad if you can't make it! Just let us know so we can put enough pizzas in the oven....</p> <p>However, I would love to get your feedback as to what you would like to see as far as functionality on the site/etc.</p> <p>Give me a shout when you get a chance...</p> <p>Blessings to all,</p> <p>Ian</p>"
"10113220","CMS (Content Management Systems)",1244250000000,-21600000,1328524,977694,"past","<p>Quick Directions:</p> <p>Leave Polson going West over the bridge.<br/>Go 3.3 miles.<br/>Turn left onto Flathead View Drive. (Right Before you go up Jette Hill and it turns into two lanes.)<br/>Go 2.3 miles.<br/>Turn Right onto a dirt road (just after you pass a house with a blue roof on the right.)<br/>We'll be the third driveway on the left (less than 2000 feet.)</p> <p>Save my cell: (406) 471 2171 to call if you get lost ;)</p> <p>We've got Pizza and Water. Feel free to bring any your liquid of preference.</p>"
