id,name,city,address_1,address_2,lat,lon
10028162,"Great Falls Public Schools","Great Falls","1100 4th Street South",,47.492363,-111.30217
10061332,"Bozeman Public Library","Bozeman","626 E. Main Street · Bozeman, Montana 59715",,45.678841,-111.027191
10159932,"Helena College, The University of Montana","Helena","1115 North Roberts Street",,46.59565,-112.015778
10160062,"Montana State University - EPS Building Room 127","Bozeman","West Grant Street",,45.665237,-111.045403
10358702,"RMSP ""Quarry""","Missoula","210 N. Higgins",,46.871349,-113.994339
10427742,"Shooters Casino & Sports Bar","Billings","1600 Avenue D",,45.786919,-108.556374
10555062,"Pin & Cue","Whitefish","6570 U.S. 93",,48.398178,-114.336433
10573062,"iKuw Solutions Office (Helena Branch)","Helena"," 2748 Colonial Drive",,46.584949,-111.991859
10619892,"Rocky Mountain Elk Foundation","Missoula","5705 Grant Creek Road",,46.917561,-114.031837
10751262,"Wolf Lodge Bay of Lake Coeur d'Alene","Coeur d'Alene","Intersection of I-90 & Idaho Route 97",,47.624386,-116.64711
1102073,"The Firehouse","Polson","703 6th Ave E",,47.690236,-114.153039
11053392,"Avail-TVN","Kalispell","2240 US Highway 93 South (behind MacKenzie River)",,48.200531,-114.315102
1106814,"Rocky Mountain School of Photography","Missoula","216 N. Higgins Ave",,46.871589,-113.994355
1128948,"ZooTown Brew","Missoula","121 W Broadway St",,46.872177,-113.995104
11294752,"Comma-Q Architecture","Bozeman","109 North Rouse Avenue",,45.680878,-111.032211
11309342,"Torrent Technologies","Kalispell ","1935 Third Avenue East",,48.18093,-114.30151
11348682,"American Welding & Gas","Billings","320 North 11th St",,45.794209,-108.487495
1138048,"FVCC","Kalispell","777 Grandview Drive","SAT Room 141",48.225925,-114.329697
11490972,"Garlington, Lohn & Robinson","Missoula","350 Ryman Street ",,46.873047,-113.995262
1159073,"ManifestBozeman","Belgrade","21000 Frontage Rd., Suite #6",,45.808904,-111.238531
11932422,"The University of Montana, School of Business Administration","Missoula","Gallagher Business Building 32 Campus Drive",,46.860577,-113.982124
1202883,"UofM","Missoula","Gallagher Building",,46.862658,-113.987619
12062482,"UM School of Extended Lifelong Learning (Todd Building next to UC)","Missoula","32 Campus Drive, Missoula, MT",,46.860577,-113.982124
1206956,"RightNow Technologies","Bozeman","136 Enterprise Boulevard",,45.65565,-111.0697
1206956,"RightNow Technologies","Bozeman","136 Enterprise Boulevard",,45.655651,-111.069702
12097772,"First Interstate Bank","Missoula","101 E Front St",,46.869808,-113.994812
1224471,"Iron Horse Brew Pub","Missoula","501 North Higgins Avenue",,46.874515,-113.993018
1226595,"UM School of Business Administration","Missoula","Gallagher Building","2nd Floor Piazza",46.862658,-113.987619
12294242,"Homewood Suites - Buffalo B Conference Room","Bozeman","1023 E Baxter Ln",,45.696976,-111.050575
12461852,"Fairgrounds","Missoula","1101 South Ave W",,46.848709,-114.014763
12537732,"The Shop","Helena","614 North Last Chance Gulch",,46.592728,-112.036453
